Stock-ID,Timestamp,Stock Price
FLTR,05-10-2023,16505.56
FLTR,06-10-2023,16720.13
FLTR,07-10-2023,16803.73
FLTR,08-10-2023,16786.92
FLTR,09-10-2023,16635.84
FLTR,10-10-2023,16768.93
FLTR,11-10-2023,16785.7
FLTR,12-10-2023,16802.48
FLTR,13-10-2023,16701.67
FLTR,14-10-2023,16768.48
FLTR,15-10-2023,16818.78
FLTR,16-10-2023,16667.41
FLTR,17-10-2023,16767.42
FLTR,18-10-2023,16750.65
FLTR,19-10-2023,16968.41
FLTR,20-10-2023,16900.53
FLTR,21-10-2023,16731.53
FLTR,22-10-2023,16915.58
FLTR,23-10-2023,16915.58
FLTR,24-10-2023,17050.9
FLTR,25-10-2023,17085.0
FLTR,26-10-2023,17170.43
FLTR,27-10-2023,17256.28
FLTR,28-10-2023,17083.72
FLTR,29-10-2023,17152.05
FLTR,30-10-2023,17375.03
FLTR,31-10-2023,17583.53
FLTR,01-11-2023,17671.45
FLTR,02-11-2023,17865.83
FLTR,03-11-2023,18008.76
