Stock-ID,Timestamp,Stock Price
GSK,29-09-2023,1761.41
GSK,30-09-2023,1747.32
GSK,01-10-2023,1733.34
GSK,02-10-2023,1747.21
GSK,03-10-2023,1740.22
GSK,04-10-2023,1743.7
GSK,05-10-2023,1747.18
GSK,06-10-2023,1762.91
GSK,07-10-2023,1769.96
GSK,08-10-2023,1778.81
GSK,09-10-2023,1782.37
GSK,10-10-2023,1782.37
GSK,11-10-2023,1766.33
GSK,12-10-2023,1753.96
GSK,13-10-2023,1773.26
GSK,14-10-2023,1757.3
GSK,15-10-2023,1771.35
GSK,16-10-2023,1776.67
GSK,17-10-2023,1762.46
GSK,18-10-2023,1760.69
GSK,19-10-2023,1778.3
GSK,20-10-2023,1797.86
GSK,21-10-2023,1779.88
GSK,22-10-2023,1803.02
GSK,23-10-2023,1790.4
GSK,24-10-2023,1774.29
GSK,25-10-2023,1760.09
GSK,26-10-2023,1763.61
GSK,27-10-2023,1760.09
GSK,28-10-2023,1742.48
