Stock-ID,Timestamp,Stock Price
ASH,15-09-2023,98.56
ASH,16-09-2023,98.26
ASH,17-09-2023,98.95
ASH,18-09-2023,100.04
ASH,19-09-2023,100.74
ASH,20-09-2023,99.83
ASH,21-09-2023,100.23
ASH,22-09-2023,100.83
ASH,23-09-2023,100.53
ASH,24-09-2023,101.24
ASH,25-09-2023,102.25
ASH,26-09-2023,102.96
ASH,27-09-2023,102.65
ASH,28-09-2023,103.27
ASH,29-09-2023,103.27
ASH,30-09-2023,104.41
ASH,01-10-2023,104.62
ASH,02-10-2023,105.03
ASH,03-10-2023,105.03
ASH,04-10-2023,106.5
ASH,05-10-2023,105.76
ASH,06-10-2023,105.34
ASH,07-10-2023,106.28
ASH,08-10-2023,106.18
ASH,09-10-2023,106.92
ASH,10-10-2023,107.67
ASH,11-10-2023,107.13
ASH,12-10-2023,106.49
ASH,13-10-2023,107.45
ASH,14-10-2023,107.45
