Stock-ID,Timestamp,Stock Price
NMR,06-10-2023,6.64
NMR,07-10-2023,6.66
NMR,08-10-2023,6.63
NMR,09-10-2023,6.6
NMR,10-10-2023,6.66
NMR,11-10-2023,6.66
NMR,12-10-2023,6.64
NMR,13-10-2023,6.7
NMR,14-10-2023,6.66
NMR,15-10-2023,6.7
NMR,16-10-2023,6.79
NMR,17-10-2023,6.84
NMR,18-10-2023,6.83
NMR,19-10-2023,6.84
NMR,20-10-2023,6.86
NMR,21-10-2023,6.95
NMR,22-10-2023,6.95
NMR,23-10-2023,6.92
NMR,24-10-2023,6.95
NMR,25-10-2023,6.98
NMR,26-10-2023,7.0
NMR,27-10-2023,6.96
NMR,28-10-2023,6.99
NMR,29-10-2023,7.02
NMR,30-10-2023,6.95
NMR,31-10-2023,6.95
NMR,01-11-2023,6.94
NMR,02-11-2023,6.9
NMR,03-11-2023,6.98
NMR,04-11-2023,6.97
